Reviewer,Date,Review,English Review
Lokmin Jusoh,5 days ago,"Waktu sampai sekitar sebelum Maghrib, barisan belum panjang, tetapi di sini ada disediakan surau, jangan risau. â€¦","When it arrives around before dusk, the line is not long, but here is a surau, don't worry.â € ¦"
Pang Kae Jiun,a month ago,"Streamline food ordering, fast moving lane.  Self service. Spacious dining area, can pay extra for AC space. Food is above average. Took chicken, cockles, squid with a syrup drink is RM 22. You can get free filter water at the hand wash â€¦","Streamline food ordering, fast moving lane.  Self service. Spacious dining area, can pay extra for AC space. Food is above average. Took chicken, cockles, squid with a syrup drink is RM 22. You can get free filter water at the hand wash â€¦"
Haffiz Hissham,a month ago,Their nasi lemak tasted normal. â€¦,Their nasi lemak tasted normal. â€¦
Ananth Pillai,a week ago,"Had this famous nasi Lemak for breakfast today. Came at 8:30am (public holiday today). It was open and already half full. There was a que but it was moving fast, thanks to ordering process. â€¦","Had this famous nasi Lemak for breakfast today. Came at 8:30am (public holiday today). It was open and already half full. There was a que but it was moving fast, thanks to ordering process. â€¦"
Alexis Busso,a month ago,"Serving only nasi lemak, this huge restaurant offers various sides, fruit juices/smoothies, and dessert. There are 2 lines for either dining in or take out. Portions were not too big and the food was delicious. Lots of workers and plenty of â€¦","Serving only nasi lemak, this huge restaurant offers various sides, fruit juices/smoothies, and dessert. There are 2 lines for either dining in or take out. Portions were not too big and the food was delicious. Lots of workers and plenty of â€¦"
Clarence Chang,2 months ago,"While I was recommend over to this place by a friend, I gotta say as a nasi lemak specialty place, I'd had expected a little more flare from the taste and overall presentation. Whilst the food had not amazed me much (since I'm Malaysian â€¦","While I was recommend over to this place by a friend, I gotta say as a nasi lemak specialty place, I'd had expected a little more flare from the taste and overall presentation. Whilst the food had not amazed me much (since I'm Malaysian â€¦"
desmonik,3 weeks ago,"Spacious and clean, with several staff waiting to clear the tables for the next group of diners.They upheld a reputation in Kampung Baru for decades, with many fans who swear â€¦","Spacious and clean, with several staff waiting to clear the tables for the next group of diners.They upheld a reputation in Kampung Baru for decades, with many fans who swear â€¦"
Wirda Ashikin,a month ago,Delicious nasi lemak with plenty of side dishes. As expected due to their popularity the price is higher than regular nasi lemak. Cleanliness seems ok. Service was also friendly. Donâ€™t know what the bad service criticisms are about. Either they had bad luck or some competitors trying to give bad remarks about them.,Delicious nasi lemak with plenty of side dishes. As expected due to their popularity the price is higher than regular nasi lemak. Cleanliness seems ok. Service was also friendly. Donâ€™t know what the bad service criticisms are about. Either they had bad luck or some competitors trying to give bad remarks about them.
Ahlia Rizuan,3 weeks ago,"Saya jenis makan nasi portion mmg sikit, satu nasi lemak sllu susah nk habis, yg ni sikit sangat sangat portion nya terkejut pulakðŸ˜… (nampk dlm gmbr je byk tu sbb dia lenyekkan) â€¦","I'm the type of person who eats small portions of nasi, one nasi lemak is always hard to finish, this one is very small portion"
Mun Jun Yong,a week ago,There was already a queue when I arrived for breakfast today. A queue for dine in and another for take away. It was quite systematic and it didn't take too long for my turn. We added the chicken rendang and the sambal sotong each on top of â€¦,There was already a queue when I arrived for breakfast today. A queue for dine in and another for take away. It was quite systematic and it didn't take too long for my turn. We added the chicken rendang and the sambal sotong each on top of â€¦
CAROLINA WONG,4 months ago,"Food was very good and offer a good variety of dishes. I like the way they sell their food, you can see what you want and ask them to add it to your plate. Price are right. The natural fruit juices were very good and it is a big cup! Love â€¦","Food was very good and offer a good variety of dishes. I like the way they sell their food, you can see what you want and ask them to add it to your plate. Price are right. The natural fruit juices were very good and it is a big cup! Love â€¦"
Kai Xian Chen,a month ago,"I like the atmosphere here. It was clean, bright, and spacious.Staff was smiley,  friendly, and helpful. â€¦","I like the atmosphere here. It was clean, bright, and spacious.Staff was smiley,  friendly, and helpful. â€¦"
Meng p,4 weeks ago,"Nasi lemak taste good, offer alot of varieties and the counter service is fast. They also seperate lanes for dine-in and take away. Got to try the fruit juice, very refreshing and tasty. Alot of private parking nearby.","Nasi lemak taste good, offer alot of varieties and the counter service is fast. They also seperate lanes for dine-in and take away. Got to try the fruit juice, very refreshing and tasty. Alot of private parking nearby."
Nick Chan,a month ago,A great reputation as one of the best Nasi Lemak is undisputed. Thou not many choices but each item is done to perfection. Highly recommend the Ayam Goreng. A+,A great reputation as one of the best Nasi Lemak is undisputed. Thou not many choices but each item is done to perfection. Highly recommend the Ayam Goreng. A+
Hendra Halim,3 weeks ago,"The Nasi Lemak Egg + Fried Beef Lung is delicious.  Recommended.  If you visit Kuala Lumpur, make time to stop for dinner at Nasi Lemak Wanjo in Kampung Baru.","The Nasi Lemak Egg + Fried Beef Lung is delicious.  Recommended.  If you visit Kuala Lumpur, make time to stop for dinner at Nasi Lemak Wanjo in Kampung Baru."
Lynn Kas,a month ago,Wanjo Kampung Bharu is specialized in Nasi Lemak. They have a large variety to choose from and the staff is very helpful in explaining the various options. â€¦,Wanjo Kampung Bharu is specialized in Nasi Lemak. They have a large variety to choose from and the staff is very helpful in explaining the various options. â€¦
Reardon Matt,4 months ago,Love the food and smoothies here! Went there two times. The avocado and chocolate smoothie (9MYR) is tasty and filling.Asked the locals to recommend me a variation of Nasi Lemak plate. Whatever she â€¦,Love the food and smoothies here! Went there two times. The avocado and chocolate smoothie (9MYR) is tasty and filling.
Muhammad Albakri,a month ago,"Located at Kampung baru, lots of people need to que, can select from whole bunch of dishes, nasi lemak sangatlah sikit, small portion, ayam goreng good, sambal sotong and sambal nasi lemak was nice, if want to eat there with better â€¦","Located at Kampung baru, lots of people need to que, can select from whole bunch of dishes, nasi lemak is small portion, ayam goreng good, sambal sotong and sambal nasi lemak was nice"
