Aspect,Emotion,Text
"['line', 'prayer room']","[[{'label': 'sadness', 'score': 0.009689624421298504}, {'label': 'joy', 'score': 0.8718135356903076}, {'label': 'love', 'score': 0.0990135595202446}, {'label': 'anger', 'score': 0.01375632919371128}, {'label': 'fear', 'score': 0.0045320275239646435}, {'label': 'surprise', 'score': 0.0011948839528486133}]]","When it arrives around before dusk, the line is not long. But here is a prayer room, don't worry."
"['dining area', 'food', 'filter water']","[[{'label': 'sadness', 'score': 0.003469607327133417}, {'label': 'joy', 'score': 0.9852370619773865}, {'label': 'love', 'score': 0.0023572964128106833}, {'label': 'anger', 'score': 0.006796883884817362}, {'label': 'fear', 'score': 0.0011851026210933924}, {'label': 'surprise', 'score': 0.0009540374157950282}]]","Fast-moving lane and self service. Spacious dining area, can pay extra for AC space. Food is above average. Took chicken, cockles, squid with a syrup drink is RM 22. You can get free filter water at the hand wash."
['nasi lemak'],"[[{'label': 'sadness', 'score': 0.0013413196429610252}, {'label': 'joy', 'score': 0.9964738488197327}, {'label': 'love', 'score': 0.0004348277871031314}, {'label': 'anger', 'score': 0.0005947561585344374}, {'label': 'fear', 'score': 0.0005948285106569529}, {'label': 'surprise', 'score': 0.0005603227182291448}]]",Their nasi lemak tasted normal.
"['que', 'ordering process']","[[{'label': 'sadness', 'score': 0.0018041139701381326}, {'label': 'joy', 'score': 0.09420374035835266}, {'label': 'love', 'score': 0.0027129878289997578}, {'label': 'anger', 'score': 0.8534577488899231}, {'label': 'fear', 'score': 0.04168770834803581}, {'label': 'surprise', 'score': 0.006133750546723604}]]","Had this famous nasi Lemak for breakfast today. Came at 8:30am (public holiday today). It was open and already half full. There was a que but it was moving fast, thanks to ordering process."
"['portions', 'food']","[[{'label': 'sadness', 'score': 0.0002636945864651352}, {'label': 'joy', 'score': 0.9979211688041687}, {'label': 'love', 'score': 0.001038845512084663}, {'label': 'anger', 'score': 0.00027077971026301384}, {'label': 'fear', 'score': 0.00014136781101115048}, {'label': 'surprise', 'score': 0.00036411549081094563}]]","Serving only nasi lemak, this huge restaurant offers various sides, fruit juices/smoothies, and desserts. There are 2 lines for either dining in or take out. Portions were not too big. The food was delicious. Lots of workers and plenty of "
"['clean', 'place', 'price']","[[{'label': 'sadness', 'score': 0.0019600526429712772}, {'label': 'joy', 'score': 0.9931898713111877}, {'label': 'love', 'score': 0.001667940290644765}, {'label': 'anger', 'score': 0.0012555764988064766}, {'label': 'fear', 'score': 0.0009766689036041498}, {'label': 'surprise', 'score': 0.000949795707128942}]]",Nice and clean place. Price reasonable. Can try.
"['food', 'price']","[[{'label': 'sadness', 'score': 0.00994091760367155}, {'label': 'joy', 'score': 0.9151105284690857}, {'label': 'love', 'score': 0.0036616658326238394}, {'label': 'anger', 'score': 0.06875220686197281}, {'label': 'fear', 'score': 0.0009052632376551628}, {'label': 'surprise', 'score': 0.0016294163651764393}]]","The food is very delicious and great!. Cheap price, recommend everyone to try it!!!"
"['taste', 'sambal']","[[{'label': 'sadness', 'score': 0.0008282499620690942}, {'label': 'joy', 'score': 0.0025958060286939144}, {'label': 'love', 'score': 0.9886528849601746}, {'label': 'anger', 'score': 0.003619024297222495}, {'label': 'fear', 'score': 0.001290048472583294}, {'label': 'surprise', 'score': 0.0030139328446239233}]]",Good to try. Taste better. But sambal not hot.
"['food', 'service']","[[{'label': 'sadness', 'score': 0.6221145391464233}, {'label': 'joy', 'score': 0.0022220900282263756}, {'label': 'love', 'score': 0.0006424832390621305}, {'label': 'anger', 'score': 0.367695152759552}, {'label': 'fear', 'score': 0.006692319642752409}, {'label': 'surprise', 'score': 0.0006334829377010465}]]","Don't buy their food online. Terrible service, after 1 hour still in process with an excuse that they have too many customers onsite. Asked for refund also not prompt"
['sambal'],"[[{'label': 'sadness', 'score': 0.00045843367115594447}, {'label': 'joy', 'score': 0.9966140389442444}, {'label': 'love', 'score': 0.0018990641692653298}, {'label': 'anger', 'score': 0.0004294153186492622}, {'label': 'fear', 'score': 0.00022558752971235663}, {'label': 'surprise', 'score': 0.00037337769754230976}]]",The sambal so delicious 
