Tokens,Tags
"['When', 'it', 'arrives', 'around', 'before', 'dusk', ',', 'the', 'line', 'is', 'not', 'long', ',', 'but', 'here', 'is', 'a', 'surau', ',', 'do', 'not', 'worry', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
"['When', 'it', 'arrives', 'around', 'before', 'dusk', ',', 'the', 'line', 'is', 'not', 'long', ',', 'but', 'here', 'is', 'a', 'surau', ',', 'do', 'not', 'worry', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
"['Streamline', 'food', 'ordering', ',', 'fast', 'moving', 'lane', '.', 'Self', 'service', '.', 'Spacious', 'dining', 'area', ',', 'can', 'pay', 'extra', 'for', 'AC', 'space', '.', 'Food', 'is', 'above', 'average', '.', 'Took', 'chicken', ',', 'cockles', ',', 'squid', 'with', 'a', 'syrup', 'drink', 'is', 'RM', '22', '.', 'You', 'can', 'get', 'free', 'filter', 'water', 'at', 'the', 'hand', 'wash']","[0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0]"
"['Streamline', 'food', 'ordering', ',', 'fast', 'moving', 'lane', '.', 'Self', 'service', '.', 'Spacious', 'dining', 'area', ',', 'can', 'pay', 'extra', 'for', 'AC', 'space', '.', 'Food', 'is', 'above', 'average', '.', 'Took', 'chicken', ',', 'cockles', ',', 'squid', 'with', 'a', 'syrup', 'drink', 'is', 'RM', '22', '.', 'You', 'can', 'get', 'free', 'filter', 'water', 'at', 'the', 'hand', 'wash']","[0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0]"
"['Streamline', 'food', 'ordering', ',', 'fast', 'moving', 'lane', '.', 'Self', 'service', '.', 'Spacious', 'dining', 'area', ',', 'can', 'pay', 'extra', 'for', 'AC', 'space', '.', 'Food', 'is', 'above', 'average', '.', 'Took', 'chicken', ',', 'cockles', ',', 'squid', 'with', 'a', 'syrup', 'drink', 'is', 'RM', '22', '.', 'You', 'can', 'get', 'free', 'filter', 'water', 'at', 'the', 'hand', 'wash']","[0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0]"
"['Streamline', 'food', 'ordering', ',', 'fast', 'moving', 'lane', '.', 'Self', 'service', '.', 'Spacious', 'dining', 'area', ',', 'can', 'pay', 'extra', 'for', 'AC', 'space', '.', 'Food', 'is', 'above', 'average', '.', 'Took', 'chicken', ',', 'cockles', ',', 'squid', 'with', 'a', 'syrup', 'drink', 'is', 'RM', '22', '.', 'You', 'can', 'get', 'free', 'filter', 'water', 'at', 'the', 'hand', 'wash']","[0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0]"
"['Streamline', 'food', 'ordering', ',', 'fast', 'moving', 'lane', '.', 'Self', 'service', '.', 'Spacious', 'dining', 'area', ',', 'can', 'pay', 'extra', 'for', 'AC', 'space', '.', 'Food', 'is', 'above', 'average', '.', 'Took', 'chicken', ',', 'cockles', ',', 'squid', 'with', 'a', 'syrup', 'drink', 'is', 'RM', '22', '.', 'You', 'can', 'get', 'free', 'filter', 'water', 'at', 'the', 'hand', 'wash']","[0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0]"
"['Their', 'nasi', 'lemak', 'tasted', 'normal', '.']","[0, 1, 2, 0, 0, 0]"
"['Had', 'this', 'famous', 'nasi', 'Lemak', 'for', 'breakfast', 'today', '.', 'Came', 'at', '8', ':', '30am', '(', 'public', 'holiday', 'today', ')', '.', 'It', 'was', 'open', 'and', 'already', 'half', 'full', '.', 'There', 'was', 'a', 'que', 'but', 'it', 'was', 'moving', 'fast', ',', 'thanks', 'to', 'ordering', 'process', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]"
"['Had', 'this', 'famous', 'nasi', 'Lemak', 'for', 'breakfast', 'today', '.', 'Came', 'at', '8', ':', '30am', '(', 'public', 'holiday', 'today', ')', '.', 'It', 'was', 'open', 'and', 'already', 'half', 'full', '.', 'There', 'was', 'a', 'que', 'but', 'it', 'was', 'moving', 'fast', ',', 'thanks', 'to', 'ordering', 'process', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]"
